"city_name","lon","lat"
"Oscoda, MI",-83.3307974,44.4202888
"Paducah, KY",-88.6000478,37.0833893
"Rocky Mount, NC",-77.7905339,35.9382103
"Trenton, NJ",-74.759717,40.2205824
"Tupelo, MS",-88.7033859,34.2576066
"Kinston, NC",-77.5816353,35.2626635
"Mansfield, OH",-82.5154471,40.75839
"Johnstown, PA",-78.9219698,40.3267407
"Muskegon, MI",-86.2483921,43.2341813
"Camp Springs, MD",-76.9066396,38.8040027
"Lake Charles, LA",-93.2173758,30.2265949
"Meridian, MS",-88.703656,32.3643098
"Worcester, MA",-71.8022934,42.2625932
"Stillwater, OK",-97.0583681,36.1156071
"Bullhead City, AZ",-114.5285981,35.1359386
"Lincoln, NE",-96.7025764,40.8136634
"Bowling Green, KY",-86.4808043,36.9685219
"Athens, GA",-83.357567,33.9519347
"Niagara Falls, NY",-79.0377388,43.0962143
"Alexandria, LA",-92.4451371,31.3112936
"Anderson, SC",-82.6501332,34.5034394
"Bloomington, IN",-86.5263857,39.165325
"Mosinee, WI",-89.7031784,44.7930232
"Erie, PA",-80.085059,42.1292241
"Winston-Salem, NC",-80.244216,36.0998596
"Latrobe, PA",-79.3794811,40.3211808
"Rome, NY",-75.4557303,43.2128473
"Salina, KS",-97.6114237,38.8402805
"Teterboro, NJ",-74.0544013,40.8659912
"Tunica, MS",-90.3828769,34.6845455
"Youngstown/Warren, OH",-80.8184166,41.2375569
"Brownsville, TX",-97.4974838,25.9017472
"Chicopee Falls, MA",-72.5759218,42.1520377
"Lakeland, FL",-81.9498042,28.0394654
"Muscle Shoals, AL",-87.6675292,34.7448112
"Lake City, FL",-82.6394016,30.1893883
"Watertown, SD",-97.1150732,44.8994088
"Concord, NC",-80.579511,35.4087517
"Columbia, MO",-92.3340724,38.9517053
"Fort Smith, AR",-94.4209646,35.3843722
"Lafayette, LA",-92.0198427,30.2240897
"Lewiston, ID",-117.0011889,46.4004089
"Muncie/Anderson/Newcastle, IN",-85.3863599,40.1933767
"Punta Gorda, FL",-82.0453664,26.9297836
"Beaumont/Port Arthur, TX",-93.9405549,29.878116
"Victoria, TX",-97.0035982,28.8052674
"Gary, IN",-87.3371523,41.6020403
"Key West, FL",-81.7799871,24.5550593
"New Haven, CT",-72.9278835,41.308274
"Columbus, GA",-84.9877094,32.4609764
"Clinton, OK",-98.9673069,35.5156056
"Fairbanks, AK",-147.7199756,64.8400511
"Hopkinsville, KY",-87.4886186,36.8656008
"Laramie, WY",-105.5911007,41.3113669
"Marion/Herrin, IL",-89.0275744,37.8031056
"Gastonia, NC",-81.1870849,35.2621735
"El Centro, CA",-115.5630514,32.792
"Cherry Point, NC",-76.8967043,34.9032325
"Yuma, AZ",-114.6276916,32.6926512
"Camp Douglas, WI",-90.2715192,43.9224669
"Brunswick, GA",-81.4878157,31.1510919
"New London/Groton, CT",-72.0590275,41.3782719
"Marathon, FL",-81.0446262,24.726026
"San Bernardino, CA",-117.2897652,34.1083449
"Merced, CA",-120.4829677,37.3021632
"St. Johns, AZ",-109.3609327,34.5058698
"Dothan, AL",-85.3904888,31.2232313
"Eugene, OR",-123.0867536,44.0520691
"Fort Collins/Loveland, CO",-105.0745837,40.395451
"Manhattan/Ft. Riley, KS",-96.5716694,39.1836082
"Portsmouth, NH",-70.7625532,43.0717552
"Pueblo, CO",-104.6101033,38.2705996
"Hilton Head, SC",-80.752608,32.216316
"Salisbury, MD",-75.5993692,38.3606736
"Plattsburgh, NY",-73.4529124,44.6994873
"Del Rio, TX",-100.8958674,29.3708857
"Shenandoah, IA",-95.3761506,40.7667389
"Oshkosh, WI",-88.5426136,44.0247062
"Rogers, AR",-94.1256953,36.3335129
"St. Cloud, MN",-94.1632404,45.5579451
"Naples, FL",-81.7948103,26.1420358
"Russellville, AR",-93.1337007,35.278116
"New Bedford/Fall River, MA",-71.1674677,41.7004205
"Morristown, NJ",-74.4815438,40.7967667
"Cross Keys, NJ",-75.0295531,39.7132121
"Waterbury, CT",-73.0514965,41.5581525
"Marion/Wytheville, VA",-81.5148368,36.8348383
"Boca Raton, FL",-80.1289321,26.3683064
"Sault Ste. Marie, MI",-84.3475876,46.4977115
"Broomfield, CO",-105.0866504,39.9205411
"Lawrenceville, GA",-83.9879625,33.9562149
"Philadelphia, MS",-89.1167275,32.7715227
"Waukegan, IL",-87.8447938,42.3636331
"Beckley, WV",-81.1881557,37.7781702
"Parkersburg, WV",-81.5615135,39.2667418
"St. Augustine, FL",-81.3139313,29.8921835
"Rhinelander, WI",-89.4120753,45.6366228
"Staunton, VA",-79.0716958,38.149576
"Ponce, PR",-66.6140616,18.0110768
"Talladega, AL",-86.1058048,33.4359416
"Macon, GA",-83.6324022,32.8406946
"Manassas, VA",-77.4752667,38.7509488
"Presque Isle/Houlton, ME",-67.839666,46.1467227
"Bakersfield, CA",-119.0187125,35.3732921
"Westhampton, NY",-72.6662075,40.8245437
"Lancaster, PA",-76.3055144,40.0378755
"Kennesaw, GA",-84.6154897,34.0234337
"Van Nuys, CA",-118.466222,34.2012166
"Abilene, TX",-99.7331439,32.4487364
"Longview, TX",-94.7404891,32.5007037
"Wichita Falls, TX",-98.4933873,33.9137085
"Cheyenne, WY",-104.8202462,41.1399814
"Hilo, HI",-155.084887,19.7216023
"Kona, HI",-155.9962255,19.6419129
"Flagstaff, AZ",-111.651302,35.1982836
"Fairfield, CA",-122.0405151,38.2491956
"Tacoma, WA",-122.4442906,47.2528768
"Inyokern, CA",-117.8125674,35.6468991
"Santa Maria, CA",-120.4357191,34.9530337
"Findlay, OH",-83.6502309,41.0391283
"Mount Vernon, IL",-88.9031201,38.3172714
"Fort Pierce, FL",-80.3256056,27.4467056
"Pellston, MI",-84.7839364,45.552789
"Pasco/Kennewick/Richland, WA",-119.119948,46.2086683
"Ardmore, OK",-97.1436254,34.1742611
"Waterloo, IA",-92.3425775,42.492786
"Cape Girardeau, MO",-89.5181476,37.3058839
"Hancock/Houghton, MI",-88.5809563,47.1268714
"Casper, WY",-106.2980824,42.848709
"Columbia, TN",-87.0352831,35.6150716
"Fort Drum, NY",-75.7487779,44.0580482
"Belleville, IL",-89.9839935,38.5200504
"Provo, UT",-111.6585337,40.2338438
"Athens, TN",-84.5929898,35.4428512
"Durango, CO",-107.8800667,37.27528
"San Angelo, TX",-100.4370375,31.4637723
"Valdosta, GA",-83.2771957,30.8328597
"Atwater, CA",-120.609084,37.3477174
"Willow Grove, PA",-75.1157286,40.1439985
"Morgantown, WV",-79.9558968,39.629526
"Decatur, AL",-86.9833417,34.6059253
"Arlington, TX",-97.1080656,32.735687
"Chillicothe, OH",-82.9824019,39.3331197
"Georgetown, KY",-84.5588311,38.2097967
"El Dorado, AR",-92.6655716,33.207471
"Walterboro, SC",-80.6667688,32.9051704
"Springfield, TN",-86.8849984,36.5092118
"Fort Leonard Wood, MO",-92.1646722,37.7252315
"Oxford, MS",-89.5188246,34.3659868
